"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","37","6827","33279870","20.51"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","37","1321","33499041","3.94"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","37","8148","66778911","12.2"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","38","6862","33570968","20.44"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","38","1338","33860789","3.95"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","38","8200","67431757","12.16"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","39","6546","34031240","19.24"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","39","1505","34372297","4.38"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","39","8051","68403537","11.77"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","40","6612","34362279","19.24"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","40","1478","34754743","4.25"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","40","8090","69117022","11.7"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","41","6624","34564860","19.16"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","41","1476","35037103","4.21"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","41","8100","69601963","11.64"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","42","6563","34932942","18.79"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","42","1414","35414540","3.99"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","42","7977","70347482","11.34"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","43","6561","34952964","18.77"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","43","1531","35544635","4.31"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","43","8092","70497599","11.48"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","44","6556","34813382","18.83"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","44","1516","35463281","4.27"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","44","8072","70276663","11.49"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","45","6516","34689880","18.78"
