"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","49","33","34993256","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","49","355","68900233","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","50","315","33416558","0.94"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","50","22","34622654","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","50","337","68039212","0.5"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","51","340","32914233","1.03"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","51","35","34178883","0.1"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","51","375","67093116","0.56"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","52","324","32516297","1"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","52","26","33875455","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","52","350","66391752","0.53"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","53","302","31439604","0.96"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","53","27","32846671","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","53","329","64286275","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","54","265","30688499","0.86"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","54","28","32174615","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","54","293","62863114","0.47"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","55","257","29520523","0.87"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","55","22","31153526","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","55","279","60674049","0.46"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","56","233","28722092","0.81"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","56","26","30391837","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","56","259","59113929","0.44"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","57","260","27584509","0.94"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","57","22","29329089","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","57","282","56913598","0.5"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","58","246","26481046","0.93"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","58","20","28291274","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","58","266","54772320","0.49"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","59","237","25315043","0.94"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","59","19","27192480","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","59","256","52507523","0.49"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","60","241","24115105","1"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","60","33","26060645","0.13"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","60","274","50175750","0.55"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","61","225","23152626","0.97"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","61","24","25106166","0.1"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","61","249","48258792","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","62","224","22136214","1.01"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","62","17","24141470","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","62","241","46277684","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","63","207","21032413","0.98"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","63","22","23077541","0.1"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","63","229","44109954","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","64","201","20077579","1"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","64","18","22165848","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","64","219","42243427","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","65","196","19085842","1.03"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","65","19","21251597","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","65","215","40337439","0.53"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","66","171","18086315","0.95"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","66","25","20306492","0.12"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","66","196","38392807","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","67","152","17119473","0.89"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","67","12","19404691","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","67","164","36524164","0.45"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","68","158","16044992","0.98"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","68","20","18393904","0.11"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","68","178","34438896","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","69","153","15378334","0.99"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","69","22","17847535","0.12"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","69","175","33225869","0.53"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","70","147","14638022","1"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","70","15","17241796","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","70","162","31879818","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","71","146","14029851","1.04"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","71","23","16717302","0.14"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","71","169","30747153","0.55"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","72","124","13230047","0.94"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","72","26","16044130","0.16"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","72","150","29274177","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","73","124","12614353","0.98"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","73","21","15548723","0.14"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","73","145","28163076","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","74","117","12027636","0.97"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","74","31","15108635","0.21"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","74","148","27136271","0.55"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","75","108","11373450","0.95"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","75","24","14595990","0.16"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","75","132","25969440","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","76","109","10819714","1.01"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","76","29","14186550","0.2"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","76","138","25006264","0.55"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","77","112","10203125","1.1"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","77","31","13707965","0.23"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","77","143","23911090","0.6"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","78","78","9617533","0.81"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","78","17","13251818","0.13"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","78","95","22869351","0.42"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","79","101","8952315","1.13"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","79","31","12700358","0.24"
