"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","32","307","32566395","0.94"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","32","68","32362863","0.21"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","32","375","64929258","0.58"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","33","294","32439229","0.91"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","33","58","32324520","0.18"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","33","352","64763749","0.54"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","34","343","32625190","1.05"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","34","61","32556295","0.19"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","34","404","65181485","0.62"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","35","322","32953633","0.98"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","35","47","32893379","0.14"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","35","369","65847012","0.56"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","36","324","33019357","0.98"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","36","60","33146361","0.18"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","36","384","66165718","0.58"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","37","361","33279870","1.08"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","37","66","33499041","0.2"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","37","427","66778911","0.64"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","38","342","33570968","1.02"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","38","83","33860789","0.25"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","38","425","67431757","0.63"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","39","370","34031240","1.09"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","39","59","34372297","0.17"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","39","429","68403537","0.63"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","40","362","34362279","1.05"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","40","66","34754743","0.19"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","40","428","69117022","0.62"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","41","359","34564860","1.04"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","41","67","35037103","0.19"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","41","426","69601963","0.61"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","42","355","34932942","1.02"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","42","78","35414540","0.22"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","42","433","70347482","0.62"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","43","344","34952964","0.98"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","43","63","35544635","0.18"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","43","407","70497599","0.58"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","44","374","34813382","1.07"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","44","80","35463281","0.23"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","44","454","70276663","0.65"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","45","367","34689880","1.06"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","45","65","35431695","0.18"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","45","432","70121575","0.62"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","46","392","34495259","1.14"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","46","72","35311991","0.2"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","46","464","69807250","0.66"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","47","384","34460124","1.11"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","47","66","35353350","0.19"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","47","450","69813474","0.64"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","48","352","34100794","1.03"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","48","68","35107524","0.19"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","48","420","69208318","0.61"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","49","359","33906977","1.06"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","49","73","34993256","0.21"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","49","432","68900233","0.63"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","50","386","33416558","1.16"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","50","65","34622654","0.19"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","50","451","68039212","0.66"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","51","385","32914233","1.17"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","51","62","34178883","0.18"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","51","447","67093116","0.67"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","52","361","32516297","1.11"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","52","75","33875455","0.22"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","52","436","66391752","0.66"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","53","361","31439604","1.15"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","53","85","32846671","0.26"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","53","446","64286275","0.69"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","54","357","30688499","1.16"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","54","41","32174615","0.13"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","54","398","62863114","0.63"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","55","315","29520523","1.07"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","55","59","31153526","0.19"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","55","374","60674049","0.62"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","56","307","28722092","1.07"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","56","51","30391837","0.17"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","56","358","59113929","0.61"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","57","325","27584509","1.18"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","57","50","29329089","0.17"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","57","375","56913598","0.66"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","58","305","26481046","1.15"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","58","50","28291274","0.18"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","58","355","54772320","0.65"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","59","269","25315043","1.06"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","59","42","27192480","0.15"
